n,P,ntasks,sleep_factor,pi_approx,erreur_abs,erreur_rel_pct,temps_s,speedup_vs_static
1000000000,2,16,0.050,3.141592653589793,0.00e+00,0.00e+00,4.232513,0.476
1000000000,4,32,0.050,3.141592653589793,0.00e+00,0.00e+00,1.774125,0.736
1000000000,2,16,0.050,3.141592653589793,0.00e+00,0.00e+00,5.730608,0.352
1000000000,4,32,0.050,3.141592653589794,4.44e-16,1.41e-14,2.177136,0.600
1000000000,2,16,0.050,3.141592653589793,0.00e+00,0.00e+00,5.672732,0.355
1000000000,4,32,0.050,3.141592653589794,4.44e-16,1.41e-14,2.186187,0.597
1000000000,2,16,0.050,3.141592653589793,0.00e+00,0.00e+00,5.778412,0.349
1000000000,2,16,0.050,3.141592653589793,0.00e+00,0.00e+00,3.920101,0.514
1000000000,4,32,0.050,3.141592653589794,4.44e-16,1.41e-14,1.999103,0.653
